"Index","Collisions"
"1283","1648"
"1284","1733"
"1285","1676"
"1286","1674"
"1287","1674"
"1288","1660"
"1289","1703"
"1290","1642"
"1291","1589"
"1292","1667"
"1293","1641"
"1294","1636"
"1295","1676"
"1296","1832"
"1297","1724"
"1298","1649"
"1299","1622"
"1300","1736"
"1301","1646"
"1302","1643"
"1303","1614"
"1304","1678"
"1305","1657"
"1306","1602"
"1307","1678"
"1308","1652"
"1309","1696"
"1310","1698"
"1311","1681"
"1312","2250"
"1313","1659"
"1314","1680"
"1315","1671"
"1316","1638"
"1317","1653"
"1318","1681"
"1319","1644"
"1320","1702"
"1321","1686"
"1322","1648"
"1323","1730"
"1324","1660"
"1325","1637"
"1326","1693"
"1327","1706"
"1328","1888"
"1329","1727"
"1330","1659"
"1331","1724"
"1332","1720"
"1333","1795"
"1334","1826"
"1335","1593"
"1336","1701"
"1337","1703"
"1338","1709"
"1339","1693"
"1340","1764"
"1341","1670"
"1342","1654"
"1343","1676"
"1344","3033"
"1345","1625"
"1346","1650"
"1347","1658"
"1348","1713"
"1349","1684"
"1350","1684"
"1351","1707"
"1352","1724"
"1353","1703"
"1354","1629"
"1355","1683"
"1356","1711"
"1357","1682"
"1358","1626"
"1359","1590"
"1360","1891"
"1361","1652"
"1362","1652"
"1363","1674"
"1364","1636"
"1365","1624"
"1366","1623"
"1367","1658"
"1368","1649"
"1369","1651"
"1370","1700"
"1371","1723"
"1372","1680"
"1373","1698"
"1374","1685"
"1375","1670"
"1376","2252"
"1377","1673"
"1378","1669"
"1379","1645"
"1380","1624"
"1381","1662"
"1382","1635"
"1383","1696"
"1384","1706"
"1385","1773"
"1386","1674"
"1387","1644"
"1388","1693"
"1389","1688"
"1390","1681"
"1391","1667"
"1392","1866"
"1393","1868"
"1394","1724"
"1395","1680"
"1396","1687"
"1397","1658"
"1398","1681"
"1399","1627"
"1400","1699"
"1401","1692"
"1402","1630"
"1403","1689"
"1404","1684"
"1405","1635"
"1406","1653"
"1407","1740"
"1408","3856"
"1409","1680"
"1410","1651"
"1411","1656"
"1412","1637"
"1413","1674"
"1414","1630"
"1415","1644"
"1416","1741"
"1417","1693"
"1418","1745"
"1419","1654"
"1420","1647"
"1421","1710"
"1422","1657"
"1423","1709"
"1424","1804"
"1425","1714"
"1426","1766"
"1427","1638"
"1428","1644"
"1429","1653"
"1430","1665"
"1431","1722"
"1432","1708"
"1433","1676"
"1434","1696"
"1435","1668"
"1436","1637"
"1437","1687"
"1438","1710"
"1439","1667"
"1440","2312"
"1441","1698"
"1442","1653"
"1443","1670"
"1444","1678"
"1445","1640"
"1446","1708"
"1447","1751"
"1448","1668"
"1449","1689"
"1450","1645"
"1451","1697"
"1452","1667"
"1453","1623"
"1454","1705"
"1455","1660"
"1456","1857"
"1457","1675"
"1458","1642"
"1459","1618"
"1460","1642"
"1461","1712"
"1462","1668"
"1463","1711"
"1464","1679"
"1465","1615"
"1466","1647"
"1467","1676"
"1468","1647"
"1469","1674"
"1470","1676"
"1471","1709"
"1472","3072"
"1473","1655"
"1474","1747"
"1475","1671"
"1476","1646"
"1477","1660"
"1478","1680"
"1479","1661"
"1480","1691"
"1481","1837"
"1482","1790"
"1483","1726"
"1484","1724"
"1485","1685"
"1486","1736"
"1487","1645"
"1488","1884"
"1489","1654"
"1490","1679"
"1491","1712"
"1492","1640"
"1493","1623"
"1494","1657"
"1495","1653"
"1496","1706"
"1497","1662"
"1498","1673"
"1499","1647"
"1500","1658"
"1501","1686"
"1502","1677"
"1503","1652"
"1504","2257"
"1505","1712"
"1506","1673"
"1507","1643"
"1508","1654"
"1509","1663"
"1510","1644"
"1511","1752"
"1512","1730"
"1513","1663"
"1514","1645"
"1515","1643"
"1516","1693"
"1517","1648"
"1518","1684"
"1519","1651"
"1520","1831"
"1521","1634"
"1522","1697"
"1523","1670"
"1524","1754"
"1525","1640"
"1526","1639"
"1527","1694"
"1528","1715"
"1529","1687"
"1530","1696"
"1531","1669"
"1532","1653"
"1533","1701"
"1534","1609"
"1535","1643"
"1536","5619"
"1537","1691"
"1538","1688"
"1539","1684"
"1540","1632"
"1541","1738"
"1542","1749"
"1543","1730"
"1544","1730"
"1545","1672"
"1546","1632"
"1547","1673"
"1548","1687"
"1549","1682"
"1550","1732"
"1551","1669"
"1552","1877"
"1553","1662"
"1554","1662"
"1555","1630"
"1556","1641"
"1557","1674"
"1558","1688"
"1559","1692"
"1560","1666"
"1561","1636"
"1562","1595"
"1563","1671"
"1564","1677"
"1565","1698"
"1566","1652"
"1567","1683"
"1568","2275"
"1569","1692"
"1570","1648"
"1571","1651"
"1572","1685"
"1573","1701"
"1574","1662"
"1575","1660"
"1576","1684"
"1577","1662"
"1578","1697"
"1579","1646"
"1580","1679"
"1581","1719"
"1582","1637"
"1583","1640"
"1584","1862"
"1585","1693"
"1586","1643"
"1587","1705"
"1588","1636"
"1589","1626"
"1590","1617"
"1591","1670"
"1592","1920"
"1593","1692"
"1594","1673"
"1595","1638"
"1596","1650"
"1597","1669"
"1598","1691"
"1599","1671"
"1600","3101"
"1601","1707"
"1602","1632"
"1603","1715"
"1604","1680"
"1605","1735"
"1606","1655"
"1607","1689"
"1608","1775"
"1609","1623"
"1610","1638"
"1611","1673"
"1612","1676"
"1613","1686"
"1614","1643"
"1615","1688"
"1616","1997"
"1617","1653"
"1618","1656"
"1619","1674"
"1620","1680"
"1621","1713"
"1622","1733"
"1623","1674"
"1624","1690"
"1625","1617"
"1626","1703"
"1627","1708"
"1628","1612"
"1629","1637"
"1630","1605"
"1631","1682"
"1632","2348"
"1633","1703"
"1634","1649"
"1635","1716"
"1636","1767"
"1637","1600"
"1638","1659"
"1639","1688"
"1640","1668"
"1641","1666"
"1642","1724"
"1643","1698"
"1644","1697"
"1645","1665"
"1646","1706"
"1647","1694"
"1648","1923"
"1649","1645"
"1650","1702"
"1651","1611"
"1652","1609"
"1653","1680"
"1654","1665"
"1655","1636"
"1656","1697"
"1657","1746"
"1658","1675"
"1659","1605"
"1660","1664"
"1661","1660"
"1662","1683"
"1663","1678"
"1664","3874"
"1665","1721"
"1666","1835"
"1667","1839"
"1668","1841"
"1669","1703"
"1670","1665"
"1671","1674"
"1672","1691"
"1673","1633"
"1674","1639"
"1675","1721"
"1676","1621"
"1677","1659"
"1678","1692"
"1679","1680"
"1680","1843"
"1681","1668"
"1682","1658"
"1683","1716"
"1684","1654"
"1685","1723"
"1686","1702"
"1687","1654"
"1688","1674"
"1689","1608"
"1690","1674"
"1691","1651"
"1692","1691"
"1693","1682"
"1694","1683"
"1695","1668"
"1696","2288"
"1697","1724"
"1698","1718"
"1699","1675"
"1700","1673"
"1701","1554"
"1702","1634"
"1703","1671"
"1704","1750"
"1705","1634"
"1706","1723"
"1707","1689"
"1708","1661"
"1709","1700"
"1710","1697"
"1711","1700"
"1712","1831"
"1713","1616"
"1714","1626"
"1715","1678"
"1716","1769"
"1717","1634"
"1718","1671"
"1719","1621"
"1720","1675"
"1721","1661"
"1722","1721"
"1723","1669"
"1724","1657"
"1725","1639"
"1726","1639"
"1727","1666"
"1728","2991"
"1729","1755"
"1730","1653"
"1731","1674"
"1732","1703"
"1733","1696"
"1734","1685"
"1735","1684"
"1736","1669"
"1737","1647"
"1738","1699"
"1739","1683"
"1740","1677"
"1741","1698"
"1742","1773"
"1743","1666"
"1744","1871"
"1745","1680"
"1746","1703"
"1747","1690"
"1748","1665"
"1749","1649"
"1750","1684"
"1751","1666"
"1752","1756"
"1753","1654"
"1754","1667"
"1755","1691"
"1756","1659"
"1757","1692"
"1758","1662"
"1759","1656"
"1760","2299"
"1761","1694"
"1762","1661"
"1763","1723"
"1764","1651"
"1765","1616"
"1766","1602"
"1767","1694"
"1768","1731"
"1769","1652"
"1770","1695"
"1771","1706"
"1772","1714"
"1773","1561"
"1774","1589"
"1775","1720"
"1776","1863"
"1777","1764"
"1778","1768"
"1779","1739"
"1780","1686"
"1781","1680"
"1782","1674"
"1783","1700"
"1784","1719"
"1785","1704"
"1786","1633"
"1787","1624"
"1788","1684"
"1789","1734"
"1790","1711"
"1791","1896"
"1792","5664"
"1793","1724"
"1794","1639"
"1795","1684"
"1796","1688"
"1797","1677"
"1798","1702"
"1799","1699"
"1800","1657"
"1801","1662"
"1802","1682"
"1803","1682"
"1804","1713"
"1805","1731"
"1806","1700"
"1807","1693"
"1808","1863"
"1809","1682"
"1810","1613"
"1811","1643"
"1812","1717"
"1813","1725"
"1814","1659"
"1815","1629"
"1816","1692"
"1817","1642"
"1818","1685"
"1819","1649"
"1820","1669"
"1821","1654"
"1822","1701"
"1823","1653"
"1824","2371"
"1825","1687"
"1826","1673"
"1827","1675"
"1828","1732"
"1829","1686"
"1830","1691"
"1831","1675"
"1832","1652"
"1833","1634"
"1834","1639"
"1835","1630"
"1836","1770"
"1837","1703"
"1838","1690"
"1839","1720"
"1840","1866"
"1841","1691"
"1842","1676"
"1843","1686"
"1844","1645"
"1845","1647"
"1846","1695"
"1847","1770"
"1848","1691"
"1849","1654"
"1850","1750"
"1851","1696"
"1852","1699"
"1853","1749"
"1854","1635"
"1855","1829"
"1856","3010"
"1857","1669"
"1858","1633"
"1859","1727"
"1860","1635"
"1861","1736"
"1862","1695"
"1863","1664"
"1864","1703"
"1865","1676"
"1866","1670"
"1867","1685"
"1868","1734"
